b,e,u,k,D_plus_F,b_even,param_hit,m,n,t,sign_branch
110,77,297,253,64009,True,True,5,1,11,
112,4,228,164,26896,True,True,4,7,2,
112,28,252,196,38416,True,True,1,2,28,
112,184,408,376,141376,True,True,2,7,4,
112,238,462,434,188356,True,True,1,4,14,
114,133,361,323,104329,True,True,1,3,19,
114,151,379,343,117649,True,True,19,3,1,
116,29,261,203,41209,True,True,1,2,29,
120,17,257,193,37249,True,True,15,4,1,
120,30,270,210,44100,True,True,1,2,30,
120,73,313,263,69169,True,True,5,12,1,
120,84,324,276,76176,True,True,2,5,6,
120,140,380,340,115600,True,True,1,3,20,
120,178,418,382,145924,True,True,3,10,2,
120,226,466,434,188356,True,True,4,15,1,
120,255,495,465,216225,True,True,1,4,15,
124,31,279,217,47089,True,True,1,2,31,
126,69,321,267,71289,True,True,3,7,3,
126,147,399,357,127449,True,True,1,3,21,
126,207,459,423,178929,True,True,7,1,9,
128,32,288,224,50176,True,True,1,2,32,
128,272,528,496,246016,True,True,1,4,16,
130,91,351,299,89401,True,True,5,1,13,
130,103,363,313,97969,True,True,5,13,1,
132,14,278,206,42436,True,True,6,11,1,
132,33,297,231,53361,True,True,1,2,33,
132,123,387,339,114921,True,True,11,2,3,
132,154,418,374,139876,True,True,1,3,22,
132,238,502,466,217156,True,True,3,11,2,
136,34,306,238,56644,True,True,1,2,34,
136,49,321,257,66049,True,True,17,4,1,
136,289,561,527,277729,True,True,1,4,17,
138,161,437,391,152881,True,True,1,3,23,
138,271,547,511,261121,True,True,23,3,1,
140,5,285,205,42025,True,True,7,2,5,
140,35,315,245,60025,True,True,1,2,35,
140,98,378,322,103684,True,True,2,5,7,
140,137,417,367,134689,True,True,5,14,1,
140,230,510,470,220900,True,True,2,7,5,
144,36,324,252,63504,True,True,1,2,36,
144,68,356,292,85264,True,True,4,9,2,
144,123,411,357,127449,True,True,3,8,3,
144,168,456,408,166464,True,True,1,3,24,
148,37,333,259,67081,True,True,1,2,37,
150,105,405,345,119025,True,True,5,1,15,
150,175,475,425,180625,True,True,1,3,25,
152,38,342,266,70756,True,True,1,2,38,
152,89,393,329,108241,True,True,19,4,1,
154,253,561,517,267289,True,True,7,1,11,
156,39,351,273,74529,True,True,1,2,39,
156,62,374,302,91204,True,True,6,13,1,
156,182,494,442,195364,True,True,1,3,26,
156,219,531,483,233289,True,True,13,2,3,
160,40,360,280,78400,True,True,1,2,40,
160,112,432,368,135424,True,True,2,5,8,
160,217,537,487,237169,True,True,5,16,1,
162,189,513,459,210681,True,True,1,3,27,
164,41,369,287,82369,True,True,1,2,41,
168,1,337,239,57121,True,True,7,12,1,
168,6,342,246,60516,True,True,4,7,3,
168,42,378,294,86436,True,True,1,2,42,
168,92,428,356,126736,True,True,3,7,4,
168,137,473,409,167281,True,True,21,4,1,
168,196,532,476,226576,True,True,1,3,28,
168,276,612,564,318096,True,True,2,7,6,
170,119,459,391,152881,True,True,5,1,17,
170,263,603,553,305809,True,True,5,17,1,
172,43,387,301,90601,True,True,1,2,43,
174,203,551,493,243049,True,True,1,3,29,
176,44,396,308,94864,True,True,1,2,44,
176,164,516,452,204304,True,True,4,11,2,
180,14,374,274,75076,True,True,5,9,2,
180,45,405,315,99225,True,True,1,2,45,
180,85,445,365,133225,True,True,9,2,5,
180,126,486,414,171396,True,True,2,5,9,
180,210,570,510,260100,True,True,1,3,30,
180,267,627,573,328329,True,True,3,10,3,
182,23,387,289,83521,True,True,7,13,1,
182,299,663,611,373321,True,True,7,1,13,
184,46,414,322,103684,True,True,1,2,46,
184,193,561,497,247009,True,True,23,4,1,
186,217,589,527,277729,True,True,1,3,31,
188,47,423,329,108241,True,True,1,2,47,
190,31,411,311,96721,True,True,19,5,1,
190,133,513,437,190969,True,True,5,1,19,
192,48,432,336,112896,True,True,1,2,48,
192,164,548,476,226576,True,True,3,8,4,
192,224,608,544,295936,True,True,1,3,32,
196,7,399,287,82369,True,True,7,2,7,
196,49,441,343,117649,True,True,1,2,49,
198,21,417,309,95481,True,True,11,3,3,
198,231,627,561,314721,True,True,1,3,33,
200,50,450,350,122500,True,True,1,2,50,
200,140,540,460,211600,True,True,2,5,10,
200,257,657,593,351649,True,True,25,4,1,
204,51,459,357,127449,True,True,1,2,51,
204,206,614,542,293764,True,True,6,17,1,
204,238,646,578,334084,True,True,1,3,34,
208,52,468,364,132496,True,True,1,2,52,
208,292,708,644,414736,True,True,4,13,2,
210,71,491,391,152881,True,True,21,5,1,
210,79,499,401,160801,True,True,7,15,1,
210,115,535,445,198025,True,True,3,7,5,
210,147,567,483,233289,True,True,5,1,21,
210,245,665,595,354025,True,True,1,3,35,
212,53,477,371,137641,True,True,1,2,53,
216,54,486,378,142884,True,True,1,2,54,
216,102,534,438,191844,True,True,4,9,3,
216,252,684,612,374544,True,True,1,3,36,
220,55,495,385,148225,True,True,1,2,55,
220,94,534,434,188356,True,True,5,11,2,
220,154,594,506,256036,True,True,2,5,11,
220,205,645,565,319225,True,True,11,2,5,
222,259,703,629,395641,True,True,1,3,37,
224,8,456,328,107584,True,True,4,7,4,
224,56,504,392,153664,True,True,1,2,56,
224,113,561,463,214369,True,True,7,16,1,
228,57,513,399,159201,True,True,1,2,57,
228,266,722,646,417316,True,True,1,3,38,
230,119,579,479,229441,True,True,23,5,1,
230,161,621,529,279841,True,True,5,1,23,
232,58,522,406,164836,True,True,1,2,58,
234,93,561,453,205209,True,True,13,3,3,
234,273,741,663,439569,True,True,1,3,39,
236,59,531,413,170569,True,True,1,2,59,
238,151,627,529,279841,True,True,7,17,1,
240,34,514,386,148996,True,True,8,15,1,
240,60,540,420,176400,True,True,1,2,60,
240,146,626,526,276676,True,True,5,12,2,
240,168,648,552,304704,True,True,2,5,12,
240,205,685,595,354025,True,True,3,8,5,
240,280,760,680,462400,True,True,1,3,40,
244,61,549,427,182329,True,True,1,2,61,
246,287,779,697,485809,True,True,1,3,41,
248,62,558,434,188356,True,True,1,2,62,
250,175,675,575,330625,True,True,5,1,25,
252,9,513,369,136161,True,True,7,2,9,
252,63,567,441,194481,True,True,1,2,63,
252,119,623,511,261121,True,True,9,2,7,
252,138,642,534,285156,True,True,3,7,6,
252,193,697,599,358801,True,True,7,18,1,
252,294,798,714,509796,True,True,1,3,42,
256,64,576,448,200704,True,True,1,2,64,
260,65,585,455,207025,True,True,1,2,65,
260,182,702,598,357604,True,True,2,5,13,
260,206,726,626,391876,True,True,5,13,2,
264,28,556,412,169744,True,True,6,11,2,
264,66,594,462,213444,True,True,1,2,66,
264,246,774,678,459684,True,True,4,11,3,
266,239,771,673,452929,True,True,7,19,1,
268,67,603,469,219961,True,True,1,2,67,
270,21,561,411,168921,True,True,5,9,3,
270,189,729,621,385641,True,True,5,1,27,
270,239,779,679,461041,True,True,27,5,1,
272,68,612,476,226576,True,True,1,2,68,
272,98,642,514,264196,True,True,8,17,1,
276,49,601,457,208849,True,True,23,6,1,
276,69,621,483,233289,True,True,1,2,69,
280,10,570,410,168100,True,True,4,7,5,
280,70,630,490,240100,True,True,1,2,70,
280,196,756,644,414736,True,True,2,5,14,
280,274,834,734,538756,True,True,5,14,2,
280,289,849,751,564001,True,True,7,20,1,
284,71,639,497,247009,True,True,1,2,71,
288,17,593,431,185761,True,True,9,16,1,
288,72,648,504,254016,True,True,1,2,72,
288,136,712,584,341056,True,True,4,9,4,
288,246,822,714,509796,True,True,3,8,6,
290,203,783,667,444889,True,True,5,1,29,
292,73,657,511,261121,True,True,1,2,73,
294,161,749,623,388129,True,True,3,7,7,
296,74,666,518,268324,True,True,1,2,74,
300,75,675,525,275625,True,True,1,2,75,
300,97,697,553,305809,True,True,25,6,1,
300,210,810,690,476100,True,True,2,5,15,
