target,train_window,test_window,feature_set,feature_fields,model,observed_lift,null_max_lift,trivial_product_lift,trivial_obstruction,trivial_obstruction_lift,strongest_trivial_lift,lift_over_trivial_product,lift_over_trivial_obstruction,lift_over_strongest_trivial,verdict,train_rows,test_rows,train_positive_rows,test_positive_rows,test_base_rate,precision,recall,f1,null_f1_mean,null_f1_max,null_lift_mean,trivial_product_precision,trivial_product_recall,trivial_product_f1,trivial_obstruction_precision,trivial_obstruction_recall,trivial_obstruction_f1,hash
h_integer,square_1_100,square_101_300,derived_products,"X,F,W,R,J,K,EA,D_plus_F,X_plus_F",hebbian_prototype,20.376263049182157,6.604583581005218,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,162,168,0.0042,0.08558030480656506,0.43452380952380953,0.14299706170421153,0.006375129730351461,0.04499437570303712,0.884517138055829,,,,,,,71c1f8c86f5f2020477c4b16005ad63f002cdbf8f5738679abd00b626597a091
h_integer,square_1_100,square_101_300,coordinate_full,"b,e,d,a",hebbian_prototype,11.127596439169139,5.175983436853002,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,162,168,0.0042,0.04673590504451038,0.375,0.08311345646437994,0.006360590183239756,0.0373134328358209,0.9383681951121148,,,,,,,4e7438275c589efcc1867c1abf244a5655cb86f8406fd923c1368fc8ff807031
h_integer,square_1_100,square_101_300,orbit9_plus_drop_be,"orbit_id9,d,a",hebbian_prototype,7.69704433497537,3.8610038610038613,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,162,168,0.0042,0.032327586206896554,0.17857142857142858,0.054744525547445265,0.008095428721591445,0.026200873362445413,1.1166624431776129,,,,,,,2d0a540b4f81ba81f8669b04203324b32c2cdf15f4c38e5a4f2de5227b3f52fc
h_integer,square_1_100,square_101_300,coordinate_only,"b,e",hebbian_prototype,7.961783439490446,5.370569280343717,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,162,168,0.0042,0.03343949044585987,0.125,0.052763819095477386,0.00720846303416084,0.03230148048452221,1.0334600022514793,,,,,,,f291c58a40e6482467b234bfe79da6356820a35ceb8ff22fc1278b9945cbdffd
h_integer,square_1_100,square_101_300,drop_raw_be,"d,a",hebbian_prototype,7.267864410721554,4.691531785127845,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,162,168,0.0042,0.030525030525030524,0.1488095238095238,0.05065856129685917,0.00811847744176158,0.02802547770700637,1.1308015390394295,,,,,,,5140a883fc402927fb3d496eee7f789115897ca2e50e3879ef6156cb310e4ee5
h_integer,square_1_100,square_101_300,qa_orbit_family24,orbit_family24,hebbian_prototype,5.333333333333334,5.333333333333334,,,,,,,,NULL_COMPETITIVE,10000,40000,162,168,0.0042,0.0224,0.08333333333333333,0.03530895334174023,0.010056721761879465,0.03530895334174023,1.2916575389690164,,,,,,,ee08251b643e5e5d1cde426031c9ebfae18450bdc39026a390888e576dc7ca43
h_integer,square_1_100,square_101_300,qa_orbit_family9,orbit_family9,hebbian_prototype,2.6519852761777467,6.3951200314836685,,,,,,,,NULL_COMPETITIVE,10000,40000,162,168,0.0042,0.011138338159946536,0.2976190476190476,0.021473051320592657,0.011937598803415187,0.03987730061349693,1.5154135378177673,,,,,,,23f0e202ce31db17a60c2a54581050a7499fdd9ba2e4601f052ea8b4570fd0d5
h_integer,square_1_100,square_101_300,qa_orbit_id9,orbit_id9,hebbian_prototype,2.6519852761777467,6.3951200314836685,,,,,,,,NULL_COMPETITIVE,10000,40000,162,168,0.0042,0.011138338159946536,0.2976190476190476,0.021473051320592657,0.009076991359315792,0.03987730061349693,1.1219925328836304,,,,,,,1dda763e185fcc2661a1697ce6db42898926290ee33a55b092fff8bfe9bcdd9a
directrix_distance_integer,square_1_100,square_101_300,derived_products,"X,F,W,R,J,K,EA,D_plus_F,X_plus_F",hebbian_prototype,7.173565311915213,2.6886762077068176,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.13952584531675088,0.461439588688946,0.21426439868695912,0.037139194156368106,0.09156395069633425,1.014218654335998,,,,,,,f0a1412fa176f3dbaf943f4fc6c7faa14273b2d8500d957ec0c2d0840cd961da
directrix_distance_integer,square_1_100,square_101_300,drop_raw_be,"d,a",hebbian_prototype,6.573288806669391,2.4523903697727403,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.12785046728971963,0.43958868894601544,0.19808861859252824,0.037691349262809586,0.08859134262655906,1.02629413913034,,,,,,,2131003043f5b20020abe94893141c8617c08f6227c28a9887ba4b919b833db8
directrix_distance_integer,square_1_100,square_101_300,coordinate_full,"b,e,d,a",hebbian_prototype,5.526660156898694,2.5863942441572694,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.10749354005167959,0.5347043701799485,0.17900172117039587,0.0359588185457421,0.08942857142857143,0.9960889350791526,,,,,,,7a3bf6a407308f190e3ead729a12f6a9acb9b173e60018323e2261366a965b7c
directrix_distance_integer,square_1_100,square_101_300,qa_orbit_family9,orbit_family9,hebbian_prototype,3.9284832790351283,1.0,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.07640899977723324,0.44087403598971725,0.13024492120751852,0.035456864626945334,0.0381578302025602,0.9295412055738979,,,,,,,344547deb59793107609fbfff0c58948c1517ee89db5456af13dc7caa219f18b
directrix_distance_integer,square_1_100,square_101_300,qa_orbit_id9,orbit_id9,hebbian_prototype,3.9284832790351283,1.1610820957039691,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.07640899977723324,0.44087403598971725,0.13024492120751852,0.03667830347736237,0.04395376919096084,0.9634049962100019,,,,,,,bf2de6637e005b7022cef5d879ea857381cde790ed84eb310e8cab2b35e402ed
directrix_distance_integer,square_1_100,square_101_300,orbit9_plus_drop_be,"orbit_id9,d,a",hebbian_prototype,4.4585475578406175,2.208760877296791,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.08671875,0.570694087403599,0.150559511698881,0.0348236949383666,0.07961513064805208,0.9500555495401758,,,,,,,2c712cc3cfaef416333ebf1e7d5f3433a7a0439b44ed83ee6eb2f8b9e434c488
directrix_distance_integer,square_1_100,square_101_300,coordinate_only,"b,e",hebbian_prototype,4.069575545636623,2.179125040407617,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,867,778,0.01945,0.07915324436263231,0.442159383033419,0.13427010148321622,0.037133086063329615,0.07901622187336473,1.0109961850685227,,,,,,,15bc25a1a9cd08d8523158ddee3d3d6f8fab05611a2d7dfee9bc44718eb9562c
directrix_distance_integer,square_1_100,square_101_300,qa_orbit_family24,orbit_family24,hebbian_prototype,1.0,1.0,,,,,,,,NULL_COMPETITIVE,10000,40000,867,778,0.01945,0.01945,1.0,0.0381578302025602,0.03599740442806617,0.0381578302025602,0.94348485343053,,,,,,,dc190ea968fff02f1bf2aa80b4e805124732de7f4a1ddacdeb3ca5720bc69907
G_square,square_1_100,square_101_300,derived_products,"X,F,W,R,J,K,EA,D_plus_F,X_plus_F",hebbian_prototype,22.64273006631085,9.376465072667603,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,102,108,0.0027,0.0611353711790393,0.12962962962962962,0.08308605341246289,0.004198874747635224,0.033003300330033,0.9713635500152988,,,,,,,25c5ad41b51605436e2ad741bc92f767610f8fa6b268a73f49553dd750dfd515
G_square,square_1_100,square_101_300,coordinate_full,"b,e,d,a",hebbian_prototype,19.881845035219268,6.988120195667364,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,102,108,0.0027,0.05368098159509203,0.32407407407407407,0.09210526315789473,0.003813678457985359,0.023575638506876228,0.9506577197469782,,,,,,,125c7e692be1ceb1ee92cdff3409a809b6bb68f915dd83539fa41b7a2e036f90
G_square,square_1_100,square_101_300,orbit9_plus_drop_be,"orbit_id9,d,a",hebbian_prototype,9.915427238261882,6.988120195667364,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,102,108,0.0027,0.026771653543307086,0.1574074074074074,0.04576043068640646,0.004586107074578285,0.024883359253499222,1.0343430185345435,,,,,,,9b5134afc77a6731c2d40b5f218e590f45d006009b58455edb82194bc6e78f1f
G_square,square_1_100,square_101_300,drop_raw_be,"d,a",hebbian_prototype,8.484255180290422,8.19403474270731,,,,,,,,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,102,108,0.0027,0.02290748898678414,0.24074074074074073,0.041834271922767494,0.005014598885745057,0.029940119760479042,1.1738669400631034,,,,,,,2bd30489a1634f6b94b344c53f5cda09c7729c3083cd163b3f63741358ecfca8
G_square,square_1_100,square_101_300,qa_orbit_family9,orbit_family9,hebbian_prototype,2.5576924663580933,6.1218243036424855,,,,,,,,NULL_COMPETITIVE,10000,40000,102,108,0.0027,0.006905769659166852,0.28703703703703703,0.013487056776158364,0.010382739601531956,0.02702702702702703,2.0825649129103376,,,,,,,a8d7d277ce500dbc643d7ba1d3077947ec6ce218ab1050da047564c761de0187
G_square,square_1_100,square_101_300,qa_orbit_id9,orbit_id9,hebbian_prototype,2.5576924663580933,6.1218243036424855,,,,,,,,NULL_COMPETITIVE,10000,40000,102,108,0.0027,0.006905769659166852,0.28703703703703703,0.013487056776158364,0.006388933996863933,0.02702702702702703,1.225196667894073,,,,,,,50a69f2e150bb3cd727af958c7a6cf65884eeba8c2510d759af44322a10e1f9f
G_square,square_1_100,square_101_300,qa_orbit_family24,orbit_family24,hebbian_prototype,5.333333333333333,11.574074074074073,,,,,,,,NULL_COMPETITIVE,10000,40000,102,108,0.0027,0.0144,0.08333333333333333,0.02455661664392906,0.009354067336325662,0.02455661664392906,2.083192519751948,,,,,,,c1245bbcfb6cbd92c1497b503dd0d8422fec2b342f4fecab87026e2db31bb226
G_square,square_1_100,square_101_300,coordinate_only,"b,e",hebbian_prototype,4.580273236989655,20.02002002002002,,,,,,,,NULL_COMPETITIVE,10000,40000,102,108,0.0027,0.012366737739872069,0.26851851851851855,0.023644516918059518,0.004648039419587316,0.03225806451612903,1.2700932043010837,,,,,,,bcfea89e10790829ff5f1fe25d81045081d5b6ad04106cfd6c9fbca31349c1a8
D_plus_F_square,square_1_100,square_101_300,coordinate_full,"b,e,d,a",hebbian_prototype,29.680365296803654,12.626262626262628,,b_even,2.0,2.0,,27.680365296803654,27.680365296803654,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,84,96,0.0024,0.07123287671232877,0.2708333333333333,0.11279826464208242,0.003486586201393606,0.03141361256544503,1.0884092180925211,,,,0.0048,1.0,0.009554140127388535,18a27e27fc0e32f65184464628b6037b625eb94d5b43a9d1936496723fa70009
D_plus_F_square,square_1_100,square_101_300,derived_products,"X,F,W,R,J,K,EA,D_plus_F,X_plus_F",hebbian_prototype,28.24858757062147,12.411347517730498,,b_even,2.0,2.0,,26.24858757062147,26.24858757062147,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,84,96,0.0024,0.06779661016949153,0.08333333333333333,0.07476635514018692,0.0031247785815984924,0.04229607250755287,0.8357893986909485,,,,0.0048,1.0,0.009554140127388535,f49b40a0b42084598c0842706ff10be54bed23e62653a5843c6217b3a0c01137
D_plus_F_square,square_1_100,square_101_300,drop_raw_be,"d,a",hebbian_prototype,9.297207043108683,9.191176470588237,,b_even,2.0,2.0,,7.297207043108683,7.297207043108683,PERSISTENT_AFTER_LEAK_BASELINE,10000,40000,84,96,0.0024,0.022313296903460837,0.5104166666666666,0.042757417102966835,0.003214118982929292,0.03260869565217391,0.8569196636913743,,,,0.0048,1.0,0.009554140127388535,2e961a96031dc12d4e5243390a01458cd890192fb3c4048f7a959fe50dde181f
D_plus_F_square,square_1_100,square_101_300,qa_orbit_family9,orbit_family9,hebbian_prototype,2.506126085987971,5.1652892561983474,,b_even,2.0,2.0,,0.506126085987971,0.506126085987971,NULL_COMPETITIVE,10000,40000,84,96,0.0024,0.00601470260637113,0.28125,0.01177753544165758,0.008978729018644393,0.020689655172413793,2.01608403687382,,,,0.0048,1.0,0.009554140127388535,4f187b3913865cfeed648981ba8a9bf0111320efe6dbd3e9b8de447741601cdf
D_plus_F_square,square_1_100,square_101_300,qa_orbit_id9,orbit_id9,hebbian_prototype,2.506126085987971,5.1652892561983474,,b_even,2.0,2.0,,0.506126085987971,0.506126085987971,NULL_COMPETITIVE,10000,40000,84,96,0.0024,0.00601470260637113,0.28125,0.01177753544165758,0.005876023919169158,0.020689655172413793,1.2593894382774198,,,,0.0048,1.0,0.009554140127388535,1527eaf835dabc05a851be3209df95182ca28d6177cd40e11e101d54bc60fa69
D_plus_F_square,square_1_100,square_101_300,coordinate_only,"b,e",hebbian_prototype,4.351610095735422,10.683760683760685,,b_even,2.0,2.0,,2.3516100957354222,2.3516100957354222,NULL_COMPETITIVE,10000,40000,84,96,0.0024,0.010443864229765013,0.041666666666666664,0.016701461377870562,0.0027531743503681756,0.02926829268292683,0.7739645935719064,,,,0.0048,1.0,0.009554140127388535,89b40184d3de4f8a17bcbf0916bffe0ffe20f16dbb5d1a996f4828129fdd8872
D_plus_F_square,square_1_100,square_101_300,qa_orbit_family24,orbit_family24,hebbian_prototype,5.333333333333334,13.020833333333334,,b_even,2.0,2.0,,3.333333333333334,3.333333333333334,NULL_COMPETITIVE,10000,40000,84,96,0.0024,0.0128,0.08333333333333333,0.022191400832177532,0.010568962674021585,0.025,3.4476938502673793,,,,0.0048,1.0,0.009554140127388535,204d6bf81047415c55dfd9d5188d8e580bb5c7178775b8cd678a0b4d5e515f7b
D_plus_F_square,square_1_100,square_101_300,orbit9_plus_drop_be,"orbit_id9,d,a",hebbian_prototype,11.981787682722263,21.92982456140351,,b_even,2.0,2.0,,9.981787682722263,9.981787682722263,NULL_COMPETITIVE,10000,40000,84,96,0.0024,0.02875629043853343,0.4166666666666667,0.05379959650302623,0.0037931071550036427,0.02985074626865672,1.0721983101284929,,,,0.0048,1.0,0.009554140127388535,7aa0649a418a531577293ec15c21fae31a5119f6a9dafcf496d7c92f4b0c3ba9
